日期,时间,纬度,经度,深度,震级,位置,Year
2016-05-22,09:48:45,28.36,87.6,10,5.3,西藏日喀则市定结县,2016
2016-05-21,02:14:04,-25.59,129.85,10,5.9,澳大利亚,2016
2016-05-19,00:46:40,0.45,-79.64,10,6.7,厄瓜多尔,2016
2016-05-18,15:56:59,0.49,-79.79,10,6.6,厄瓜多尔,2016
2016-05-18,01:05:11,26.1,99.58,10.4,4.6,云南大理州洱源县,2016
2016-05-18,00:48:47,26.1,99.53,14.6,5,云南大理州云龙县,2016
2016-05-14,11:32:49,24.23,121.71,10,4.7,台湾花莲县海域,2016
2016-05-14,11:12:03,24.19,121.85,19,4.6,台湾花莲县海域,2016
2016-05-13,16:24:12,24.78,121.98,5.9,5,台湾宜兰县海域,2016
2016-05-12,12:29:56,24.77,122.02,15,5.8,台湾宜兰县海域,2016
2016-05-12,11:17:13,24.71,122,15,6.2,台湾宜兰县海域,2016
2016-05-11,09:15:46,31.99,94.94,6.9,5.5,西藏昌都市丁青县,2016
2016-05-08,18:13:47,34.89,86.73,6.3,4.6,西藏那曲地区尼玛县,2016
2016-05-08,10:46:31,24.04,121,5.9,4.6,台湾南投县,2016
2016-05-04,17:23:58,23.27,103.22,10,4.7,云南红河州个旧市,2016
2016-05-04,15:51:48,23.28,103.23,10,4.6,云南红河州个旧市,2016
2016-05-02,22:29:00,24.29,121.71,7,4.6,台湾花莲县,2016
2016-04-29,03:33:26,-16.09,167.34,30,7,瓦努阿图群岛,2016
2016-04-28,02:19:05,23.26,121.3,8.3,5.2,台湾花莲县,2016
2016-04-27,23:27:38,24.26,121.83,6.9,4.9,台湾花莲县海域,2016
2016-04-27,23:17:10,24.22,121.71,7.5,5.6,台湾花莲县海域,2016
2016-04-26,02:13:12,21.16,121.04,7.8,4.8,台湾屏东县海域,2016
2016-04-23,07:00:56,21.95,102.31,10,4.6,老挝,2016
2016-04-20,16:33:48,0.6,-80.1,15,6.2,厄瓜多尔沿岸近海,2016
2016-04-17,15:13:58,-0.4,-80.3,20,5.6,厄瓜多尔,2016
2016-04-17,07:58:35,0.35,-79.95,10,7.5,厄瓜多尔,2016
2016-04-16,00:25:09,32.75,130.8,10,7.3,日本九州岛,2016
2016-04-15,05:50:26,-14.49,166.4,10,6.1,瓦努阿图群岛,2016
2016-04-14,23:03:47,32.7,130.84,20,6,日本九州岛,2016
2016-04-14,20:26:37,32.8,130.62,20,6.2,日本九州岛,2016
2016-04-13,21:55:18,23.14,94.87,130,7.2,缅甸,2016
